productID,relatedTo
0077614992,0471730726
0077614992,0132834871
0077614992,0471391905
0077614992,B00000JZKB
0077614992,0324314132
0077614992,0073525057
0077614992,1133227295
0615269990,1935660152
0615269990,0071743979
0615269990,0071831428
0615269990,0323087876
0615269990,0443069522
0615269990,0967009014
0615315860,B006VT9RBM
0615315860,B0010JLMO8
0615315860,B001CXC69C
0615315860,B0064QSHXG
0615315860,B00CZAQIZ4
0615315860,B0018G4ZEW
0615315860,B006VT9R62
0615315860,B0018G3KCK
0615315860,B001KADGMI
0615315860,B0010JNGWY
0615406394,0966035232
0615406394,1421407205
0895640163,0895640589
0898004640,0898004667
0898004640,B007Y2MBHM
0898004667,0898004640
0898004667,B004O5G8Q2
0898004667,B007Y2MBHM
0898004667,B0006NM1K8
0898004667,B005NE6QZ6
0929619730,B000VUJY6A
0929619730,B000VULNBO
0929619730,B00BNVMX82
0929619730,B00BZDKWKY
0929619730,B000N7YZVU
0929619730,076842321X
0929619730,B003BB0VMC
0929619730,B000N8164S
0929619730,B003L9YCZG
0974959200,0965873226
0974959200,096587320X
0976202107,0471504475
0976202107,0471504394
0976202107,0486652270
0976202107,1107005213
0976202107,069114558X
0976202107,0984513922
0976202107,0957389442
0976202107,0123846544
0976202107,0471569526
0976202107,0486659690
0976202107,0486612724
0976202107,0750626348
0976202107,0486409244
0976202107,0750626364
0976202107,0817647147
0976202107,149230610X
0976202107,1492984140
0976202107,0486606244
0976202107,0750626356
0976202107,9027725616
0976202107,0750633719
0976202107,0750310251
0976202107,048665964X
0976202107,0387976639
0976202107,0521298873
0976202107,0486638960
0976202107,0691130183
0976202107,075062633X
0976202107,0821847902
0976202107,0691113874
0976202107,0821844385
0976202107,0792355148
0976202107,0817682821
0976202107,0486689239
0976202107,0070006571
0982828004,1591201411
0982828004,1552100669
0982828004,1425103391
0982828004,0967930480
0982828004,1552100510
0982828004,0966916808
0982828004,0684857219
0982828004,1105092135
0982828004,B001US9BWO
0982828004,1450419895
0982828004,0967930499
0982828004,0736092269
0982828004,0966916867
0982828004,1450413994
0982828004,1475143389
0982828004,1412078598
0982828004,B002CTOKE4
0982828004,B00IF8Q7EC
0982828004,0984741453
0982828004,B0000C3I6U
0982828004,1938895088
0982828004,0972638407
0982828004,0966916832
0982828004,1450413986
0982828004,B004158M46
0982828004,0976459329
0982828004,1890342009
0982828004,B002DRJ6P8
0982828004,0071493719
0982828004,B00663G4ZK
0982828004,0967989612
0982828004,B000H87TIG
0982828004,1594865485
0982828004,1451662440
0982828004,0736058036
0982828004,0880114940
0982828004,1492755796
0982828004,1456565354
0982828004,0071383301
0982828004,B00CFOQAWQ
0982828004,0345426460
0982828004,B000GIPJ16
0982828004,0671797484
0982828004,B007HP04UM
0982828004,147514377X
0982828004,073607483X
0982828004,B0093QIDLK
0982828004,1480036668
0982828004,B001PB7OSE
0982828004,1936608588
0982828004,0615390722
0982828004,B000JVYIZ8
0982828004,0965310701
0982828004,1450400957
0982828004,B003UTFRCY
0982828004,0849381932
0982828004,B00686OYGQ
0982828004,B002DYIZIU
0982828004,0982522738
0982828004,B00BFCFV8S
0982828004,B007W4H7WQ
0982828004,B002DYIZEO
0982828004,B000KE0LYQ
0982828004,B00950NBJS
0982828004,B002JNM8YM
0982828004,B00KC4EDZM
0982828004,B0015R3AAO
0982828004,0967930464
0985013346,193770209X
0985013346,B0099WAY6A
0985013346,0985528001
0985013346,098501332X
0985013346,0984265813
0985013346,0985013354
0985013346,0934426988
0985013346,1937702103
0985013346,B00D97H2SO
0985013346,B008QMPTSM
0985013346,0931432820
0985013346,B005Y4ZPUW
0985013346,1899171592
0985013346,B007PYKPA4
0985013346,B004GJRG3K
0985013346,0991640705
0985013346,1937702138
0985013346,B006QB4BSE
0985013346,B004YTNVCC
0985013346,B00BFZFVW6
0985013346,B009H5P3VK
0985013346,1594774250
0985013346,B00IFW2GFC
0985013346,B0070AZJ5O
0985013346,B00BD41MVS
0985013346,B00HA9DW2C
0985013346,0892818875
0985013346,0911207023
0985013346,0934426996
0985013346,1499626959
0985013346,B008I6QJCG
0985013346,B009D77UT0
0985013346,B006TM1LRO
0985013346,B008SDUALA
0985013346,0985013389
0985013346,B004PF3YPE
0985013346,0980134927
0985013346,B00DVQVJYG
0985013346,B00GLO7M00
0985013346,B005CTJYIS
0985013346,B00GUSYAXO
0985013346,B004O29146
0985013346,B00GION4XW
0985013346,B008RODQFM
0985013346,0443062412
0985013346,1577310950
0985013346,B006BHTY4Y
0985013346,1626340463
0985013346,B0007SMXQY
0985013346,B00D9NV1NU
0985013346,0967316456
0985013346,0985013338
0985013346,B004O23YHQ
0985013346,B004O276I4
0985013346,B0058T8QVI
0985013346,B005DNME8A
0985013346,B004O275XK
0985013346,0806905840
0985013346,B00C8SK2HS
0985013346,B00IJGK796
0985013346,B004O25R1C
0985013346,0061735361
0985013346,0892817437
0985013346,B004O2916O
0985013346,0142003646
0985013346,B004O276P2
0985013346,B001W3IHWM
0985013346,B0085W96U0
0985013346,B002RXGSZY
0985013346,B004O25T06
0985013346,B002DY1FNC
0985013346,B00DAESJPG
0985013346,B003W2X4QU
0985013346,B0070AEAWM
0985013346,B003D6F5HQ
0985013346,B006LTUBOE
0985013346,0937611352
0985013346,0984198253
0985013346,1466243368
0985013346,B00KIUG786
0985013346,1936677121
0985013346,B002Y2NJWS
0985013346,B006U7NSO2
0985013346,B005IQTSE0
0985013346,1402752245
0985013346,B004O291IM
1423915410,B000923FOC
1423915410,B00092MWNM
1423915410,B003YPKGUW
1423915410,B00478NK6M
1423915410,B00B1T0H98
1423915410,B004JO37DK
1423915410,B000X96N4U
1423915410,B004Q4JA3E
1423915410,B00024WBTW
1424333083,B009FFK3IK
1424333083,B000FP04CO
1424333083,B003TXIXPO
1424333083,B002ZYPN0Q
1424333083,1880047241
1424333083,B001VNE7TK
1424333083,B004FQLUIQ
1424333083,B001ED8H16
1424333083,B001C0I450
1424333083,B000FOXZI0
1424333083,B001VNKNPC
1424333083,1593854455
1424333083,B001N7DLPU
1424333083,0743936906
1424333083,B005F5O6MI
1424333083,1556429681
1424333083,1890627720
1472607341,B00LB5LS54
1472607341,B00LB5LWKA
1472607341,B00LB5M3SA
1472607341,B003SNL9II
1472607341,B00LB5M40W
1472607341,B000J6EXM6
1472607341,B00LB5LUES
1472607341,B00LB5M236
1472607341,B00HPRBBTK
1472607341,1472607333
1472607341,B00LB5LYD0
1472607341,1472607384
1472607341,1472607376
1472607341,147261237X
1472607341,B004DOMK2U
1472607341,B0014GJLCW
1472607341,B00HXC3UPU
1472607341,B00HTTF3LG
1472607341,B00F6N56F0
1472607341,B00AZL61PW
1472607341,B001HT53QY
1472607341,B00EWQELJO
1472607341,B000ZYKFTC
1472607341,B005G1BAUM
1472607341,B00DD5ZHGQ
1472607341,B00FAVLYVI
1472607341,B00CWX3JTC
1472607341,B000ZYKFSS
1472607341,B004S67884
1472607341,B004ECLQHQ
1472607341,B00C0SNFSE
1472607341,B007D3XLPI
1472607341,B0007OEE7E
1472607341,B00D96FXCM
1472607341,B00ALLBU9I
1472607341,B007HONQD0
1472607341,B00B829VDQ
1472607341,B000ZYJ96W
1472607341,1441305343
1472607341,B000ZYF22M
1472607341,B007QFATEO
1472607341,B0045Z4PGQ
1472607341,B000SHQ9SC
1472607341,B00CSV58VA
1472607341,B008IUFMXE
1472607341,B009MRKT1C
1560622016,B005HBJJ54
1560622016,B0002DMPFS
1560622016,B000UXDDU6
1560622016,B004OQP3O4
1560622016,B007MCCDJA
1574891790,1574892428
1574891790,157489885X
1574891790,1619921901
1574891790,1619921685
1574891790,1619920433
1574891790,1574893874
1574891790,1574899023
1574891790,B0051H9XUU
1574891790,1574895990
1574891790,B00K7292O6
1574891790,B005G87JUK
1574891790,1574892258
1574891790,B002NL98T8
1574891790,1593594801
1574891790,1574899201
1574891790,B004AMOJX8
1574891790,B002SILHP4
1574891790,B005I66IDO
1574891790,1619920409
1574891790,1619920425
1574891790,B00DV6FQQ8
1574891790,B00BQTKW2A
1574891790,1574898248
1574891790,1574890859
1574891790,B008MQ9M3A
1574891790,1452113858
1574891790,B004AMS1D2
1574891790,0811878023
1574891790,1593593090
1574891790,1619920379
1574891790,B003X9ZREY
1574891790,1423201922
1574891790,1612386636
1574891790,1452105944
1574891790,1742208177
1574891790,1619920360
1574891790,0935039252
1574891790,B008KP47YC
1574891790,1441306609
1574891790,1593594283
1574891790,886293338X
1574891790,B000OM8ZB0
157489112X,1619921014
157489112X,1574890719
157489112X,1574890727
157489112X,1619920115
157489112X,B0000538AC
157489112X,B002P1QDEE
157489112X,B005X5Y774
1574890107,157489112X
1574890107,1619920115
1574890107,1619921804
1574890107,1574897594
1574890107,1619921014
1574890107,1574899678
1574890107,B0019IM7FS
1574890107,B002MY9FYE
1574890107,1619923157
1574890107,B0000538AC
1574890107,B001D6VPJU
1574890107,B002P1QDEE
1574890719,1574890727
1574890719,1619921014
1574890719,1574892541
1574890719,1574895893
1574890719,157489112X
1574890719,157489899X
1574890719,1619920697
1574890719,1574896040
1574890719,0486270254
1574890719,157489224X
1574890719,161992224X
1574890719,1619920115
1574890719,0486268209
1574890719,157489188X
1574890719,1574899015
1574890719,1574890735
1574890719,1619920689
1574890719,1574892304
1574890719,1619921790
1574890719,1619921936
1574890719,1400320887
1574890719,157489921X
1574890719,B000NDKVJY
1574890859,1619920360
1574890859,1574891790
1574890859,1574898256
1574890859,1619920379
1574890859,1574898868
1574891138,157489112X
1574891138,1619921014
1574891138,1619920115
1574891138,1574890719
1574891138,B002MY9FYE
1574891138,1574896024
1574891138,B002P1QDEE
1574891138,1574890727
1574891138,1574892738
1574891138,1574899678
1574890735,1574892541
